county,state,fips,cases,deaths
Autauga,Alabama,01001,53,3
Baldwin,Alabama,01003,189,5
Barbour,Alabama,01005,47,1
Bibb,Alabama,01007,43,0
Blount,Alabama,01009,40,0
Bullock,Alabama,01011,18,0
Butler,Alabama,01013,120,2
Calhoun,Alabama,01015,114,3
Chambers,Alabama,01017,304,21
Cherokee,Alabama,01019,17,0
Chilton,Alabama,01021,60,1
Choctaw,Alabama,01023,54,0
Clarke,Alabama,01025,43,1
Clay,Alabama,01027,24,1
Cleburne,Alabama,01029,13,1
Coffee,Alabama,01031,134,0
Colbert,Alabama,01033,42,2
Conecuh,Alabama,01035,9,0
Coosa,Alabama,01037,31,1
Covington,Alabama,01039,46,1
Crenshaw,Alabama,01041,26,0
Cullman,Alabama,01043,58,0
Dale,Alabama,01045,34,0
Dallas,Alabama,01047,68,3
DeKalb,Alabama,01049,99,2
Elmore,Alabama,01051,121,3
Escambia,Alabama,01053,31,2
Etowah,Alabama,01055,152,10
Fayette,Alabama,01057,6,0
Franklin,Alabama,01059,152,0
Geneva,Alabama,01061,11,0
Greene,Alabama,01063,61,2
Hale,Alabama,01065,59,2
Henry,Alabama,01067,27,1
Houston,Alabama,01069,98,4
Jackson,Alabama,01071,53,2
Jefferson,Alabama,01073,1020,49
Lamar,Alabama,01075,13,0
Lauderdale,Alabama,01077,68,2
Lawrence,Alabama,01079,16,0
Lee,Alabama,01081,408,28
Limestone,Alabama,01083,48,0
Lowndes,Alabama,01085,80,3
Macon,Alabama,01087,41,2
Madison,Alabama,01089,238,4
Marengo,Alabama,01091,68,3
Marion,Alabama,01093,90,7
Marshall,Alabama,01095,439,8
Mobile,Alabama,01097,1265,71
Monroe,Alabama,01099,13,1
Montgomery,Alabama,01101,456,8
Morgan,Alabama,01103,78,0
Perry,Alabama,01105,16,0
Pickens,Alabama,01107,57,2
Pike,Alabama,01109,82,0
Randolph,Alabama,01111,82,4
Russell,Alabama,01113,63,0
Shelby,Alabama,01117,335,13
St. Clair,Alabama,01115,76,0
Sumter,Alabama,01119,85,3
Talladega,Alabama,01121,67,2
Tallapoosa,Alabama,01123,303,22
Tuscaloosa,Alabama,01125,243,3
Walker,Alabama,01127,100,0
Washington,Alabama,01129,42,2
Wilcox,Alabama,01131,72,4
Winston,Alabama,01133,16,0
Anchorage,Alaska,02020,190,4
Bethel Census Area,Alaska,02050,1,0
Fairbanks North Star Borough,Alaska,02090,83,2
Juneau City and Borough,Alaska,02110,27,0
Kenai Peninsula Borough,Alaska,02122,21,0
Ketchikan Gateway Borough,Alaska,02130,16,0
Kodiak Island Borough,Alaska,02150,1,0
Matanuska-Susitna Borough,Alaska,02170,21,1
Nome Census Area,Alaska,02180,1,0
Petersburg Borough,Alaska,02195,3,0
Prince of Wales-Hyder Census Area,Alaska,02198,2,0
Sitka City and Borough,Alaska,02220,1,0
Southeast Fairbanks Census Area,Alaska,02240,1,0
Yukon-Koyukuk Census Area,Alaska,02290,1,0
Apache,Arizona,04001,576,7
Cochise,Arizona,04003,39,0
Coconino,Arizona,04005,561,46
Gila,Arizona,04007,14,0
Graham,Arizona,04009,19,0
Greenlee,Arizona,04011,2,0
La Paz,Arizona,04012,16,2
