county,state,fips,cases,deaths
Autauga,Alabama,01001,6,0
Baldwin,Alabama,01003,5,0
Blount,Alabama,01009,5,0
Bullock,Alabama,01011,2,0
Butler,Alabama,01013,1,0
Calhoun,Alabama,01015,3,0
Chambers,Alabama,01017,15,0
Cherokee,Alabama,01019,1,0
Chilton,Alabama,01021,7,0
Choctaw,Alabama,01023,1,0
Clay,Alabama,01027,1,0
Cleburne,Alabama,01029,3,0
Colbert,Alabama,01033,1,0
Coosa,Alabama,01037,2,0
Covington,Alabama,01039,2,0
Crenshaw,Alabama,01041,1,0
Cullman,Alabama,01043,7,0
Dallas,Alabama,01047,2,0
DeKalb,Alabama,01049,4,0
Elmore,Alabama,01051,12,0
Escambia,Alabama,01053,1,0
Etowah,Alabama,01055,5,0
Franklin,Alabama,01059,3,0
Greene,Alabama,01063,1,0
Houston,Alabama,01069,4,0
Jackson,Alabama,01071,5,1
Jefferson,Alabama,01073,179,0
Lamar,Alabama,01075,1,0
Lauderdale,Alabama,01077,11,1
Lawrence,Alabama,01079,3,0
Lee,Alabama,01081,53,0
Limestone,Alabama,01083,16,0
Lowndes,Alabama,01085,1,0
Madison,Alabama,01089,61,1
Marengo,Alabama,01091,2,0
Marion,Alabama,01093,7,0
Marshall,Alabama,01095,4,0
Mobile,Alabama,01097,23,1
Montgomery,Alabama,01101,18,0
Morgan,Alabama,01103,13,0
Pickens,Alabama,01107,1,0
Pike,Alabama,01109,4,0
Randolph,Alabama,01111,1,0
Russell,Alabama,01113,1,0
Shelby,Alabama,01117,70,0
St. Clair,Alabama,01115,9,0
Talladega,Alabama,01121,4,0
Tallapoosa,Alabama,01123,5,0
Tuscaloosa,Alabama,01125,22,0
Walker,Alabama,01127,24,0
Washington,Alabama,01129,2,0
Wilcox,Alabama,01131,2,0
Winston,Alabama,01133,2,0
Anchorage,Alaska,02020,43,1
Fairbanks North Star Borough,Alaska,02090,19,0
Juneau City and Borough,Alaska,02110,4,0
Kenai Peninsula Borough,Alaska,02122,5,0
Ketchikan Gateway Borough,Alaska,02130,12,0
Matanuska-Susitna Borough,Alaska,02170,2,0
Apache,Arizona,04001,11,0
Cochise,Arizona,04003,2,0
Coconino,Arizona,04005,41,2
Graham,Arizona,04009,4,0
La Paz,Arizona,04012,2,0
Maricopa,Arizona,04013,399,5
Mohave,Arizona,04015,4,0
Navajo,Arizona,04017,49,0
Pima,Arizona,04019,102,4
Pinal,Arizona,04021,36,0
Santa Cruz,Arizona,04023,2,0
Yavapai,Arizona,04025,9,0
Yuma,Arizona,04027,4,0
Baxter,Arkansas,05005,1,0
Benton,Arkansas,05007,24,0
Boone,Arkansas,05009,1,0
Bradley,Arkansas,05011,4,0
Chicot,Arkansas,05017,1,0
Clark,Arkansas,05019,17,0
Cleburne,Arkansas,05023,49,2
Cleveland,Arkansas,05025,4,0
Columbia,Arkansas,05027,1,0
Conway,Arkansas,05029,2,0
Craighead,Arkansas,05031,4,0
Crawford,Arkansas,05033,1,0
Crittenden,Arkansas,05035,12,0
Cross,Arkansas,05037,1,0
Desha,Arkansas,05041,2,0
Drew,Arkansas,05043,2,0
Faulkner,Arkansas,05045,28,0
Garland,Arkansas,05051,20,0
Grant,Arkansas,05053,3,0
Greene,Arkansas,05055,3,0
Hempstead,Arkansas,05057,1,0
Hot Spring,Arkansas,05059,2,0
Howard,Arkansas,05061,3,0
Independence,Arkansas,05063,3,0
Jefferson,Arkansas,05069,23,0
Lawrence,Arkansas,05075,3,0
Lincoln,Arkansas,05079,6,0
Lonoke,Arkansas,05085,4,0
Pike,Arkansas,05109,2,0
Poinsett,Arkansas,05111,3,0
Polk,Arkansas,05113,2,0
Pope,Arkansas,05115,3,0
Pulaski,Arkansas,05119,89,1
Randolph,Arkansas,05121,2,0
Saline,Arkansas,05125,4,0
Searcy,Arkansas,05129,4,0
Sebastian,Arkansas,05131,3,0
Sevier,Arkansas,05133,1,0
Stone,Arkansas,05137,4,0
Union,Arkansas,05139,2,0
Unknown,Arkansas,,61,1
Van Buren,Arkansas,05141,17,0
Washington,Arkansas,05143,13,0
White,Arkansas,05145,6,0
Woodruff,Arkansas,05147,1,0
Alameda,California,06001,241,4
Amador,California,06005,2,0
Butte,California,06007,5,0
Calaveras,California,06009,3,0
Colusa,California,06011,1,0
Contra Costa,California,06013,151,2
El Dorado,California,06017,12,0
Fresno,California,06019,31,0
Humboldt,California,06023,14,0
Imperial,California,06025,21,0
Inyo,California,06027,5,0
Kern,California,06029,41,1
Kings,California,06031,1,0
Los Angeles,California,06037,1465,27
Madera,California,06039,11,1
Marin,California,06041,69,1
Mendocino,California,06045,2,0
Merced,California,06047,7,0
Mono,California,06051,8,0
Monterey,California,06053,27,1
Napa,California,06055,10,0
Nevada,California,06057,12,0
Orange,California,06059,321,3
Placer,California,06061,41,1
Riverside,California,06065,185,8
Sacramento,California,06067,164,6
San Benito,California,06069,11,1
San Bernardino,California,06071,64,3
San Diego,California,06073,417,5
San Francisco,California,06075,282,3
San Joaquin,California,06077,93,4
San Luis Obispo,California,06079,59,0
San Mateo,California,06081,239,6
Santa Barbara,California,06083,47,0
Santa Clara,California,06085,574,21
Santa Cruz,California,06087,34,0
Shasta,California,06089,3,1
Siskiyou,California,06093,3,0
Solano,California,06095,39,0
Sonoma,California,06097,50,1
Stanislaus,California,06099,23,0
Sutter,California,06101,2,0
Tulare,California,06107,24,0
Unknown,California,,1,0
Ventura,California,06111,83,3
Yolo,California,06113,16,1
Yuba,California,06115,3,0
Adams,Colorado,08001,71,0
Alamosa,Colorado,08003,1,0
Arapahoe,Colorado,08005,155,1
Boulder,Colorado,08013,76,1
Broomfield,Colorado,08014,13,0
Chaffee,Colorado,08015,5,1
Clear Creek,Colorado,08019,3,0
Costilla,Colorado,08023,1,0
Crowley,Colorado,08025,1,1
Delta,Colorado,08029,2,0
Denver,Colorado,08031,312,3
Douglas,Colorado,08035,79,0
Eagle,Colorado,08037,170,1
El Paso,Colorado,08041,160,7
Elbert,Colorado,08039,3,0
Fremont,Colorado,08043,1,0
Garfield,Colorado,08045,16,0
Grand,Colorado,08049,2,0
Gunnison,Colorado,08051,66,1
Hinsdale,Colorado,08053,1,0
Huerfano,Colorado,08055,1,0
Jefferson,Colorado,08059,158,5
Kit Carson,Colorado,08063,2,0
La Plata,Colorado,08067,13,0
Larimer,Colorado,08069,67,1
Lincoln,Colorado,08073,1,0
Logan,Colorado,08075,3,0
Mesa,Colorado,08077,7,0
Montrose,Colorado,08085,6,0
Morgan,Colorado,08087,4,0
Otero,Colorado,08089,2,0
Park,Colorado,08093,1,0
Pitkin,Colorado,08097,25,0
Pueblo,Colorado,08101,7,1
Rio Grande,Colorado,08105,2,0
Routt,Colorado,08107,12,0
San Miguel,Colorado,08113,1,0
Summit,Colorado,08117,10,0
Teller,Colorado,08119,7,1
Unknown,Colorado,,136,0
Washington,Colorado,08121,1,0
Weld,Colorado,08123,129,6
Yuma,Colorado,08125,2,0
Fairfield,Connecticut,09001,752,15
Hartford,Connecticut,09003,189,2
Litchfield,Connecticut,09005,52,0
Middlesex,Connecticut,09007,25,1
New Haven,Connecticut,09009,222,6
New London,Connecticut,09011,15,0
Tolland,Connecticut,09013,33,3
Windham,Connecticut,09015,3,0
Kent,Delaware,10001,21,0
New Castle,Delaware,10003,106,1
Sussex,Delaware,10005,38,1
District of Columbia,District of Columbia,11001,304,4
Alachua,Florida,12001,60,0
Baker,Florida,12003,7,0
Bay,Florida,12005,4,0
Bradford,Florida,12007,1,0
Brevard,Florida,12009,20,0
Broward,Florida,12011,631,10
Charlotte,Florida,12015,8,0
Citrus,Florida,12017,11,1
Clay,Florida,12019,22,4
Collier,Florida,12021,85,0
Columbia,Florida,12023,3,0
DeSoto,Florida,12027,6,0
Duval,Florida,12031,99,3
Escambia,Florida,12033,28,0
Flagler,Florida,12035,12,0
Gadsden,Florida,12039,1,0
Hernando,Florida,12053,12,0
Highlands,Florida,12055,6,1
Hillsborough,Florida,12057,174,2
Indian River,Florida,12061,15,0
Jackson,Florida,12063,1,0
Lake,Florida,12069,32,0
Lee,Florida,12071,95,5
Leon,Florida,12073,15,0
Levy,Florida,12075,1,0
Manatee,Florida,12081,29,1
Marion,Florida,12083,9,0
Martin,Florida,12085,17,0
Miami-Dade,Florida,12086,869,2
Monroe,Florida,12087,19,0
Nassau,Florida,12089,6,0
Okaloosa,Florida,12091,25,0
Orange,Florida,12095,174,4
Osceola,Florida,12097,56,0
Palm Beach,Florida,12099,241,5
Pasco,Florida,12101,25,1
Pinellas,Florida,12103,82,1
Polk,Florida,12105,28,0
Putnam,Florida,12107,12,0
Santa Rosa,Florida,12113,13,1
Sarasota,Florida,12115,43,2
Seminole,Florida,12117,54,0
